grieks,nederlands,streak,score_goed,score_fout,laatst_geoefend
ἐπιτιμάω,"oproepen, waarschuwen, terechtwijzen",1,15,0,2026-08-12
σκότος,"duisternis, (het) donker/duister",0,0,0,
συνέρχομαι,"bijeenkomen, vergaderen, vergezellen",0,0,0,
γνῶσις,"kennis, begrip, inzicht",2,2,4,2026-08-12
ἐλεέω,"medelijden hebben (met), compassie betonen (aan)",0,0,0,
Καῖσαρ,"keizer, Caesar",0,0,0,
μάχαιρα,"(kort) zwaard, steekzwaard",31,13,6,2026-08-12
μισθός,"loon, beloning",0,0,0,
παράκλησις,"aansporing, bemoediging, troost",0,0,0,
πάσχα,"[Hebr.] Pesach, Pascha, Pasen, de Paasmaaltijd, het Paaslam",22,8,1,2026-08-12
πόθεν,"waarvandaan, vanwaar",0,0,0,
προσκαλέω,erbij roepen,0,0,0,
σκανδαλίζω,"doen struikelen, schokken",31,15,1,2026-08-12
φεύγω,"vluchten, ontkomen, vermijden, verdwijnen",0,0,0,
φίλος,(adj.) vriendschappelijk; (subst.) vriend,0,0,0,
πλούσιος,"(adj.) rijk, vermogend (subst.) rijke, rijk persoon",17,13,6,2026-08-12
θυσία,offer,0,0,0,
προφητεύω,profeteren,0,0,0,
ἰσχυρός,"sterk, krachtig",31,16,2,2026-08-12
ἡγέομαι,"denken, menen, leiding geven",0,0,0,
ἁγιάζω,"heilig maken, toewijden, heiligen",0,0,0,
ἀδικέω,onrecht doen (aan),1,6,3,2026-08-12
ἀληθινός,"waar, echt, eerlijk",0,0,0,
γαμέω,trouwen (met),0,0,0,
ἐνδύω,"aandoen, aankleden",0,8,1,2026-08-12
θυγάτηρ,dochter,0,0,0,
ἰσχύω,"sterk zijn, bij machte zijn",0,0,0,
νικάω,"overwinnen, de overhand krijgen/hebben",0,1,1,2026-08-12
τελέω,"afronden, helemaal doen, betalen",0,0,0,
χώρα,"streek, land, regio",0,0,0,
οὔπω,nog niet,2,7,0,2026-08-12
σός,"(pron. poss.) jouw, uw; (subst.) het jouwe, het uwe",0,0,0,
σταυρός,kruis,0,0,0,
ἔλεος,"medelijden, compassie, barmhartigheid",9,10,5,2026-08-12
βαστάζω,"optillen, (ver)dragen, wegnemen, roven",0,0,0,
δέκα,tien,0,0,0,
ἐκεῖθεν,"daarvandaan, vandaar",17,7,4,2026-08-12
ἐκχέω,"uitgieten, uitstorten, (zichzelf) verliezen",0,0,0,
καταργέω,"tenietdoen, uitschakelen",0,0,0,
κρίμα,"oordeel(svorming), veroordeling, rechtzaak",31,3,3,2026-08-12
κώμη,dorp,0,0,0,
μυστήριον,"mysterie, geheim(enis)",0,0,0,
πόσος,"hoeveel, hoe groot, hoe lang",1,16,4,2026-08-12
φρονέω,"denken (aan), in gedachte hebben",0,0,0,
ἐπεί,"toen, nadat, aangezien, want, nu",0,0,0,
ἀληθής,"waar, echt, eerlijk",9,6,5,2026-08-12
ἀδελφή,zus,0,0,0,
ἀποκαλύπτω,"onthullen, openbaren, bekend maken",0,0,0,
γνωρίζω,"bekendmaken, informeren, weten",22,0,3,2026-08-12
Ἕλλην,"Griek, Helleen, Griekstalige, niet-Jood",0,0,0,
ἕνεκα,"wegens, vanwege, ter wille van",0,0,0,
ἰάομαι,genezen,22,16,4,2026-08-12
καθαρός,"zuiver, rein, schoon",0,0,0,
λυπέω,"(act.) bedroeven, verdriet doen; (med./pas.) bedroefd zijn, verdriet hebben",0,0,0,
ὀμνύω,zweren,2,17,1,2026-08-12
ὁμολογέω,"informeren, instemmen, belijden, toegeven",0,0,0,
πνευματικός,(adj.) geestelijk; (subst.) geestelijke zaak/gave/macht,0,0,0,
στρατιώτης,soldaat,5,16,1,2026-08-12
συνίημι,begrijpen,0,0,0,
χῆρος,"(adj.) leeg; (subst.) weduwe, weduwnaar",0,0,0,
ἥκω,"gekomen zijn, aanwezig zijn [prae. met betekenis als pf.]",0,7,6,2026-08-14
ἀδικία,onrechtvaardigheid,0,0,0,
ἀναβλέπω,"omhoog kijken, weer (kunnen) zien",0,0,0,
ἀσθενής,"zwak, ziek",17,5,2,2026-08-12
δένδρον,boom,0,0,0,
δουλεύω,slaaf zijn,0,0,0,
ἑορτή,feest,17,6,1,2026-08-12
κελεύω,"bevelen, opdragen",0,0,0,
λευκός,"helder(wit), schijnend",0,0,0,
μανθάνω,"leren, begrijpen",5,3,1,2026-08-12
νεφέλη,wolk,0,0,0,
πορνεία,"ontucht, seksuele immoraliteit",0,0,0,
φιλέω,"liefhebben, hoog waarderen, liefdevol begroeten",5,4,5,2026-08-12
νέος,"nieuw, jong",0,0,0,
νοῦς,"verstand, brein, gedachte",0,0,0,
ἀκοή,"horen, oor, gerucht, bericht",1,8,3,2026-08-12
ἀναιρέω,"opnemen, doden, afschaffen",0,0,0,
ἀσθένεια,"zwakheid, ziekte, beperking",0,0,0,
ἀστήρ,ster,1,13,6,2026-08-12
διότι,"gezien deze dingen, daarom, dus",0,0,0,
ἐπιστολή,brief,0,0,0,
καταλείπω,achterlaten,22,17,6,2026-08-12
κεῖμαι,"liggen, geplaatst zijn",0,0,0,
οὗ,"waar, waarheen [bijzonder gebruik van de gen. van ὅς]",0,0,0,
παῖς,"kind, slaaf, dienaar",2,6,3,2026-08-12
πάρειμι,"aanwezig zijn, zijn bij",0,0,0,
παρουσία,"aanwezigheid, (aan)komst",0,0,0,
πίμπλημι,"vullen, tot vervulling komen",0,3,1,2026-08-12
προσέχω,"opletten, oppassen (voor), zorgdragen (voor)",0,0,0,
σωτήρ,"redder, verlosser",0,0,0,
θεάομαι,"(be)zien, opmerken, een kijkje nemen",17,11,0,2026-08-12
θυσιαστήριον,altaar,0,0,0,
ἐλεύθερος,vrij,0,0,0,
σκεῦος,"object, vat, instrument; (pl.) bezittingen",17,16,5,2026-08-12
χαρίζομαι,"begunstigen, (genadig) vergeven",0,0,0,
ἀμπελών,wijngaard,0,0,0,
ἀνάγω,"naar boven leiden, brengen voor, uitvaren",5,2,3,2026-08-12
ἄπιστος,"ontrouw, trouweloos, ongelovig, ongeloofwaardig",0,0,0,
εἰκών,"(even)beeld, gelijkenis",0,0,0,
ζῷον,"dier, (levend) wezen",1,0,0,2026-08-12
κατηγορέω,"beschuldigen, aanklagen",0,0,0,
κοιλία,"buik, binnenste, schoot",0,0,0,
κωλύω,"verhinderen, beletten, ontzeggen",31,4,1,2026-08-12
μιμνῄσκω,"(zich) herinneren, (zich) bedenken",0,0,0,
πέραν,"aan de overzijde, aan de andere kant",0,0,0,
περιβάλλω,"(rondom) opzetten, aantrekken",2,3,1,2026-08-12
τελειόω,"voltooien, afronden, perfectioneren",0,0,0,
χιλιάς,"duizendtal, groep van duizend",0,0,0,
δοκιμάζω,"onderzoeken, testen, evalueren, goedkeuren",2,5,2,2026-08-12
ἀγνοέω,niet weten (van),0,0,0,
ἀντί,"in plaats van, voor",0,0,0,
αὐξάνω,"(act.) vergroten, doen toenemen; (med.) groeien, toenemen",1,18,0,2026-08-12
γρηγορέω,"wakker zijn, waakzaam zijn, alert zijn",0,0,0,
δέομαι,"verzoeken, smeken, bidden",0,0,0,
ἐκλέγω,"uitkiezen, selecteren",2,14,0,2026-08-12
ἐκλεκτός,"(adj.) uitgekozen, geselecteerd; (subst.) keuze, selectie, uitgekozene",0,0,0,
καθεύδω,slapen,0,0,0,
κἀκεῖνος,"en die(gene), en dat, en hij/zij/het [καί + ἐκεῖνος]",1,10,3,2026-08-12
κατεργάζομαι,"uitvoeren, realiseren, zorgen voor",0,0,0,
κοπιάω,"moe worden, zwoegen",0,0,0,
μετάνοια,"inkeer, berouw",31,13,4,2026-08-12
μηκέτι,niet langer,0,0,0,
πληγή,"slag, klap, wond, plaag",0,0,0,
πλοῦτος,rijkdom,17,13,1,2026-08-12
πωλέω,verkopen,0,0,0,
συνέδριον,"Sanhedrin, (hoge) raad",0,0,0,
τεσσεράκοντα,veertig,17,0,5,2026-08-12
πειρασμός,"beproeving, test, verleiding",0,0,0,
τιμάω,"eren, waarderen, prijzen",0,0,0,
στρέφω,"omdraaien, terugkeren, transformeren",0,6,1,2026-08-12
ἀργύριον,"zilver, zilveren munt, geld",0,0,0,
βασιλεύω,"heersen, koning zijn (over) (+gen.)",0,0,0,
διδασκαλία,"onderricht, onderwijs",22,14,2,2026-08-12
ἐνεργέω,"bewerken, activeren, werkzaam/actief zijn",0,0,0,
εὐδοκέω,"goedvinden, beslissen, blij zijn (met)",0,0,0,
θερίζω,oogsten,17,12,1,2026-08-12
καθίστημι,"brengen (naar), aanstellen, maken",0,0,0,
λατρεύω,"aanbidden, (cultisch) vereren, dienen",0,0,0,
μνημονεύω,"(iemand) herinneren (aan), in herinnering roepen",2,3,4,2026-08-12
περισσός,"(adj.) overvloedig, in hoge mate; (subst.) wat meer is (dan) (+gen.), voordeel",0,0,0,
τελώνης,"belastinginner, tollenaar",0,0,0,
ὑπακούω,"gehoor geven aan, gehoorzamen",0,10,0,2026-08-12
χιλίαρχος,"tribuun, legerofficier",0,0,0,
ὡσεί,"(zo)als, ongeveer",0,0,0,
νηστεύω,vasten,22,18,4,2026-08-12
αἰτία,"oorzaak, reden, casus",0,0,0,
ἀκροβυστία,voorhuid,0,0,0,
βάπτισμα,"doop, (rituele) reiniging",5,16,4,2026-08-12
γένος,"stam, volk, afkomst, soort",0,0,0,
γονεύς,ouder; (pl.) ouders,0,0,0,
ἑκατοντάρχης,"centurion, honderdman",17,8,2,2026-08-12
ἐπίγνωσις,"kennis, bekendheid, herkenning",0,0,0,
ἐφίστημι,"staan naast, klaarstaan, komen over, aanvallen",0,0,0,
ἡγεμών,"leider, gouverneur",1,5,6,2026-08-12
ἰχθύς,vis,0,0,0,
μαρτύριον,"getuigenis, verklaring",0,0,0,
ξύλον,"hout, knuppel, stok, kruis, boom",22,4,2,2026-08-12
προάγω,"naar voren leiden, voor(af)gaan",0,0,0,
σκηνή,"tent, woning, tabernakel",0,0,0,
σοφός,wijs,17,13,6,2026-08-12
τοσοῦτος,"zo groot, zo veel",0,0,0,
τρέχω,rennen,0,0,0,
ὑπηρέτης,"helper, assistent",2,12,1,2026-08-12
ὑψόω,"optillen, verhogen, verheerlijken",0,0,0,
παλαιός,oud,0,0,0,
τέλειος,"voltooid, perfect, volwassen",2,2,6,2026-08-12
ἀπέχω,"(ontvangen) hebben, weg zijn (van), afzien van",0,0,0,
κοινωνία,"gemeenschap(sleven), uiting van gemeenschap",0,0,0,
γεωργός,"boer, druiventeler, wijngaardenier",17,9,3,2026-08-12
διακρίνω,"onderscheiden, evalueren, (be)oordelen, tegenspreken, twijfelen",0,0,0,
δῶρον,"gave, donatie, geschenk",0,0,0,
ἐπαίρω,"optillen, opheffen, zich verheffen",1,0,2,2026-08-12
ἐπάνω,"boven, over, op, meer dan (+gen.)",0,0,0,
ἐπιλαμβάνομαι,(in bezit) nemen,0,0,0,
ἐπουράνιος,hemels,0,7,2,2026-08-12
κριτής,rechter,0,0,0,
κρύπτω,"verbergen, verstoppen",0,0,0,
κτίσις,"schepping, schepsel, instelling",9,10,1,2026-08-12
μεριμνάω,onrustig/bezorgd zijn (over),0,0,0,
παράπτωμα,overtreding,0,0,0,
παρατίθημι,"voorzetten, demonstreren, toevertrouwen (aan)",22,18,1,2026-08-12
προφητεία,"(het) profeteren, profetie",0,0,0,
νυνί,"nu, welnu",0,0,0,
μέχρι,tot(dat),1,12,4,2026-08-12
δεσμός,"boei, band",0,0,0,
κατέχω,"vasthouden, in beslag nemen, bezitten, uitvaren naar",0,0,0,
ἐπιτρέπω,"toestaan, toelaten",31,20,1,2026-08-12
ἀληθῶς,"werkelijk, zeker, echt",0,0,0,
ἀποκάλυψις,"onthulling, openbaring, bekendmaking",0,0,0,
ἀπώλεια,"vernietiging, ondergang",1,12,4,2026-08-12
ἆρα,"soms, dan [markeert een vraagzin met een verwachte negatieve respons]",0,0,0,
ἀριθμός,"aantal, totaal",0,0,0,
βλασφημία,"smaad, laster, godslastering",0,3,4,2026-08-12
δέησις,"verzoek, (smeek)bede, gebed",0,0,0,
εἰσπορεύομαι,"reizen naar, binnengaan, komen in",0,0,0,
ἐλέγχω,"aan de kaak stellen, terechtwijzen, confronteren",1,7,2,2026-08-12
ἐμβαίνω,"gaan in, aan boord gaan, inschepen",0,0,0,
ἐπιβάλλω,"leggen op, stoten tegen, behoren tot",0,0,0,
θυμός,"passie, sterk verlangen, boosheid",31,12,4,2026-08-12
καταγγέλλω,(overal) verkondigen,0,0,0,
κατακρίνω,"een oordeel vellen, veroordelen",0,0,0,
κενός,"leeg, zinloos, ijdel",0,6,5,2026-08-12
κληρονομέω,"erven, verkrijgen",0,0,0,
κοιμάομαι,"slapen, gestorven zijn",0,0,0,
κόπος,"moeite, gezwoeg",22,0,0,2026-08-12
μήν (II),maand,0,0,0,
οἰκοδομή,"gebouw, opbouw",0,0,0,
παραχρῆμα,"meteen, onmiddellijk",9,8,2,2026-08-12
ποιμήν,"herder, hoeder",0,0,0,
πόλεμος,"oorlog, strijd",0,0,0,
πολλάκις,"vaak, dikwijls",17,17,4,2026-08-12
προστίθημι,"toevoegen, doorgaan",0,0,0,
πυλών,"poort(gebouw), toegang(spoort)",0,0,0,
στέφανος,"krans, kroon",22,16,4,2026-08-12
ταράσσω,"opstoken, verstoren, in beroering brengen",0,0,0,
τίκτω,"voortbrengen, baren",0,0,0,
φανερός,"openlijk, zichtbaar, herkenbaar",1,20,3,2026-08-12
χρυσοῦς,"gouden, van goud",0,0,0,
σκοτία,"duisternis, (het) donker/duister",0,0,0,
ῥύομαι,"redden, verlossen",1,17,4,2026-08-12
ὑποκριτής,"hypocriet, toneelspeler",0,0,0,
ἐπαύριον,morgen,0,0,0,
ἀνάγκη,"noodzaak, dwang, stress",0,12,1,2026-08-12
μήτι,[in vraagzin] toch (zeker) niet; [+εἰ] tenzij,0,0,0,
ἀρέσκω,"behagen, plezieren",0,0,0,
ἄφεσις,"vrijlating, vergeving",22,15,1,2026-08-12
ὡσαύτως,"op dezelfde manier, zo ook",0,0,0,
βρῶμα,voedsel,0,0,0,
ἑκατόν,honderd,31,17,4,2026-08-12
ἐξίστημι,"(act.) verbazen; (med./aor.2) verbaasd zijn, gek geworden zijn",0,0,0,
ἕτοιμος,"gereed, voorbereid, klaar",0,0,0,
θησαυρός,"schat, (schat)kist, schatkamer",0,13,3,2026-08-12
ἵππος,paard,0,0,0,
καθάπερ,(zo)als,0,0,0,
καταλύω,"vernielen, vernietigen, onderdak vinden",22,9,4,2026-08-12
κερδαίνω,"winst maken, winnen",0,0,0,
κρυπτός,"verborgen, geheim",0,0,0,
νίπτω,wassen,22,19,2,2026-08-12
περιτέμνω,besnijden,0,0,0,
πλήρωμα,"vulling, volheid, vervulling",0,0,0,
πλησίον,(subst.) naaste; (prep.) nabij (+gen.),17,16,2,2026-08-12
ποταμός,"rivier, stroom",0,0,0,
ῥίζα,"wortel, loot",0,0,0,
ὑπομένω,"(achter)blijven, doorstaan",31,20,2,2026-08-12
χάρισμα,"(genade)gave, goddelijk geschenk",0,0,0,
ὦ,o(!) [markeert een uitroep],0,0,0,
πλήρης,vol (van) (+gen.),9,9,0,2026-08-12
ὑστερέω,"ontbreken, gebrek lijden, nodig hebben",0,0,0,
νυμφίος,bruidegom,0,0,0,
εὐλογία,"lof, prijs, vleierij",0,7,4,2026-08-12
οὐδέποτε,nooit,0,0,0,
κλέπτης,dief,0,0,0,
δέσμιος,"(vast)gebondene, gevangene",0,20,1,2026-08-12
δεῖπνον,"avondeten, feestmaal",0,0,0,
διατάσσω,"regelen, instrueren, bevelen",0,0,0,
ἀθετέω,"verwerpen, ongeldig verklaren",22,12,0,2026-08-12
ἀνακρίνω,"onderzoeken, ondervragen over, informeren naar, (gerechtelijk) verhoren",0,0,0,
διαλογίζομαι,"discussiëren, bespreken, overwegen",0,0,0,
διψάω,"dorstig zijn (naar), dorst hebben (naar)",17,12,0,2026-08-12
ἐκτείνω,"uitstrekken, uitwerpen",0,0,0,
ἔπειτα,"toen, dan, daarna, vervolgens",0,0,0,
ἐπιθυμέω,"verlangen naar, begeren",17,2,6,2026-08-12
ἐπιμένω,"blijven, volharden (in)",0,0,0,
ἐργάτης,"werker, arbeider, uitvoerder",0,0,0,
ζῆλος,"ijver, enthousiasme, jaloezie, rivaliteit",5,13,5,2026-08-12
θεμέλιος,fundament,0,0,0,
κακῶς,"slecht, op kwade wijze, onterecht; [+ἔχειν] ziek zijn",0,0,0,
κἄν,"en als, in in het geval dat [καί + ἐάν]",31,8,6,2026-08-12
κλείω,(af)sluiten,0,0,0,
λύπη,"verdriet, droefenis, pijn",0,0,0,
πάθημα,"lijden, passie",5,1,4,2026-08-12
παρέχω,"verschaffen, voorzien (van/in), teweegbrengen",0,0,0,
περισσῶς,"bovenmatig, zeer, (des) te meer",0,0,0,
συκῆ,vijgenboom,1,14,1,2026-08-12
συλλαμβάνω,"grijpen, helpen, zwanger worden",0,0,0,
συνίστημι,"aanbevelen, bevestigen, staan naast, bestaan",0,0,0,
τέρας,"wonder, goddelijk (voor)teken",5,19,5,2026-08-12
τροφή,"voedsel, levensmiddelen",0,0,0,
καταλαμβάνω,"innemen, (be)grijpen, veiligstellen",0,0,0,
γάμος,"huwelijk, bruiloft",1,1,4,2026-08-12
πέτρα,rots(blok),0,0,0,
συμφέρω,"bijeenbrengen, bijdragen",0,0,0,
τράπεζα,"tafel, eettafel, wisseltafel",22,14,0,2026-08-12
ἐπαγγέλλομαι,beloven,0,0,0,
γεύομαι,"proeven, ervaren",0,0,0,
εὐσέβεια,"vroomheid, godsvrucht",5,1,2,2026-08-12
ἐντέλλομαι,"opdragen, instrueren",0,0,0,
ὑπακοή,gehoorzaamheid,0,0,0,
ἐπίσταμαι,"begrijpen, weten",2,3,2,2026-08-12
ὅθεν,"waarvandaan, vanwaar, daarom",0,0,0,
μερίζω,"verdelen, uitdelen",0,0,0,
μέτρον,"maat(staf), hoeveelheid",31,4,5,2026-08-12
κοινός,"gemeenschappelijk, gewoon, (ritueel) onrein",0,0,0,
θύω,"offeren, slachten",0,0,0,
κλάω,breken,22,14,4,2026-08-12
ταπεινόω,"(act.) laag maken, vernederen; (pas.) vernederd worden, gebrek lijden",0,0,0,
ἕκτος,zesde,0,0,0,
κοινόω,"ontheiligen, ritueel onrein maken, beschouwen als (ritueel) onrein",9,20,4,2026-08-12
πετεινός,(adj.) vogelachtig; (subst.) vogel,0,0,0,
ἀνάκειμαι,aanliggen,0,0,0,
ὄψιος,(adj.) laat; (subst.) avond,22,11,6,2026-08-12
ἀμφότεροι,"beide, allen",0,0,0,
ἁρπάζω,"roven, (weg)nemen",0,0,0,
μακροθυμία,"lankmoedigheid, geduld",2,9,5,2026-08-12
ἀναγγέλλω,"berichten, bekend maken, verkondigen",0,0,0,
χωρίζω,"scheiden, weggaan",0,0,0,
καταντάω,"bereiken, aankomen (bij)",2,7,3,2026-08-12
καταισχύνω,"beschamen, te schande maken",0,0,0,
παιδεύω,"opvoeden, opleiden, educatief vormen",0,0,0,
ἄνωθεν,"van boven, vanaf het begin, opnieuw",1,16,2,2026-08-12
μάλιστα,"het meest, vooral [superl. van μάλα]",0,0,0,
προσλαμβάνω,"deelnemen aan, meenemen, aannemen",0,0,0,
σπλαγχνίζομαι,"compassie hebben (met), medelijden hebben (met)",17,8,2,2026-08-12
καίω,"aansteken, in brand steken",0,0,0,
ἔθος,"gewoonte, gebruik",0,0,0,
σπλάγχνον,"(pl.) ingewanden, inwendige organen, hart",5,20,2,2026-08-12
κλάδος,tak,0,0,0,
κλῆρος,"lot, erfdeel",0,0,0,
ἅμα,tegelijk(ertijd),5,6,1,2026-08-12
κοινωνός,"deelgenoot, partner",0,0,0,
ὄντως,"echt, onbetwistbaar, eigenlijk",0,0,0,
σιγάω,"stil zijn, rustig zijn, zwijgen",5,1,5,2026-08-12
ἔνοχος,"onderworpen aan, aansprakelijk (gehouden voor)",0,0,0,
ἀπολογέομαι,zichzelf verdedigen (voor de rechtbank),0,0,0,
ἐπιδίδωμι,"aanbieden, overhandigen, uitdelen, overgeven",0,0,2,2026-08-12
αἵρεσις,"factie, sekte, verdeeldheid zaaiende mening",0,0,0,
καταφρονέω,"minachten, verachten, bespotten",0,0,0,
ἀπιστέω,"ontrouw zijn, niet geloven",9,13,0,2026-08-12
διανοίγω,"openen, open doen",0,0,0,
ἐνθάδε,"hier, hiernaartoe",0,0,0,
σχίσμα,"scheuring, verdeeldheid",0,3,1,2026-08-12
δόκιμος,"goedgekeurd, geschikt (bevonden)",0,0,0,
ἐπαινέω,"loven, aanbevelen",0,0,0,
ὅσος,"zo veel als, zo groot als",9,2,6,2026-08-12
μέρος,"deel, partij, zaak",0,0,0,
ἐκπορεύομαι,"(weg)gaan, (uit)komen",0,0,0,
παρέρχομαι,"gaan langs, voorbijgaan, vergaan",1,5,4,2026-08-12
